Name,Rating,Link,Address,Timing,,
 Viswambharante Kada ,1 Ratings,https://www.justdial.com/Alappuzha/Viswambharante-Kada-Changanaserry-Junction-Alappuzha-City/0477PX477-X477-220106113504-N5V2_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Of SD College Alappuzha City,8:30 AM,7947456727,
 Fresh India Department Store ,6 Ratings,https://www.justdial.com/Aligarh/Fresh-India-Department-Store-Near-Iqra-Chowraha-Infront-Of-Gate-No-2-Iqra-Colony-Dhorra-Mafi/9999PX571-X571-220227175258-A3H2_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Tahira Residency Dhorra Mafi,9:00 AM,7942597049,
 Janpriya General Store ,98 Ratings,https://www.justdial.com/Allahabad/Janpriya-General-Store-Near-Mazaar-Ke-Samne-Sohabatiya-Bagh/0532PX532-X532-170605163139-W8E5_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Rauja Ke Samne Sohabatiya Bagh,9:00 AM,7947277938,
 9eleven My Family Mart ,433 Ratings,https://www.justdial.com/Allahabad/9eleven-My-Family-Mart-Near-Ram-Mandir-Road-Civil-Lines/0532PX532-X532-181211172551-G6B3_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Strachy Road Civil Lines,None,7947451105,
 Prakash Maga Mart ,26 Ratings,https://www.justdial.com/Bareilly/Prakash-Maga-Mart-Dd-Puram-Deen-Dayal-Puram/9999PX581-X581-220624115050-I8M3_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Dayal Puram Deen Dayal Puram,10:00 AM,7942774645,
 Sri Venkataswamy Food Grains ,12 Ratings,https://www.justdial.com/Bangalore/Sri-Venkataswamy-Food-Grains-Amruth-Nagar/080PXX80-XX80-220224145228-L7K8_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,A Sector Amruth Nagar,None,7947467685,
 Sri Venkataswamy Food Grains ,68 Ratings,https://www.justdial.com/Bangalore/Sri-Venkataswamy-Food-Grains-Whitefield/080PXX80-XX80-210902221637-X4Q6_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Hagadur Main Road Whitefield,7:00 AM,7947450118,
 Mini Bazaar ,744 Ratings,https://www.justdial.com/Bangalore/Mini-Bazaar-Near-Banaswadi-Railway-Station-St-Thomas-Town/080P4300846_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Main Road St Thomas Town,None,7947154318,
 De Needs Hyper Bazzar ,548 Ratings,https://www.justdial.com/Bangalore/De-Needs-Hyper-Bazzar-Opposite-to-Jalahalli-Police-Station-Near-to-HMT-Theater-Jalahalli/080PXX80-XX80-130307112048-Y6Q5_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,HMT Main Road Jalahalli,7:30 AM,7947199458,
 Balaji Departmental Stores ,2,093 Ratings,https://www.justdial.com/Bangalore/Balaji-Departmental-Stores-Opposite-Bmtc-Bus-Depo-Jayanagar-4th-T-Block/080PF000329_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,26th Main Jayanagar 4th T Block,8:00 AM,7947272662
